,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,docs_url,updated_github_id,trending
10,ZenML,zenml-io/zenml,zenml,[],ai-service-deployment-framework,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml,Apache-2.0,2020-11-19 09:25:46,2023-12-21 17:19:17,2023-12-20 18:32:56,6128,224.0,344.0,41.0,1952.0,10.0,205.0,3345,2023-12-21 17:06:55,0.53.1,94.0,"ZenML : Build portable, production-ready MLOps pipelines. https://zenml.io.",295.0,295.0,81.0,https://pypi.org/project/zenml,13378.0,13378.0,33,True,3,1.0,,,
11,DeepPavlov,deeppavlov/DeepPavlov,deeppavlov,[],nlp,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29,2023-12-05 06:40:26,2023-10-17 11:40:34,2699,6.0,1117.0,210.0,1045.0,18.0,613.0,6426,2023-10-17 11:41:15,1.4.0,61.0,An open source library for deep learning end-to-end dialog systems and chatbots.,369.0,369.0,76.0,https://pypi.org/project/deeppavlov,8686.0,8686.0,32,True,3,,,,
12,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-12-20 19:05:28,2023-12-19 14:44:18,3023,70.0,467.0,45.0,2332.0,357.0,517.0,3570,2023-12-18 17:51:46,0.217.0,100.0,A GraphQL library for Python that leverages type annotations.,2552.0,2552.0,236.0,https://pypi.org/project/strawberry,570.0,644.0,32,True,1,447.0,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,,
13,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-12-20 18:08:06,2023-12-15 22:15:59,625,33.0,234.0,18.0,607.0,283.0,421.0,2730,2023-12-08 21:11:15,0.18.0,78.0,"A light-weight, flexible, and expressive statistical data testing library.",1226.0,1226.0,111.0,https://pypi.org/project/pandera,1239634.0,1239634.0,32,True,1,,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,,
14,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-12-21 15:38:21,2023-12-03 22:38:46,455,33.0,171.0,18.0,300.0,52.0,283.0,1595,2023-11-13 03:49:48,1.23.6,100.0,Asynchronous Python ODM for MongoDB.,1786.0,1786.0,68.0,https://pypi.org/project/beanie,151291.0,151291.0,31,True,1,,,,
15,OneFuzz,microsoft/onefuzz,onefuzz,[],security-testing,https://github.com/microsoft/onefuzz,https://github.com/microsoft/onefuzz,MIT,2020-07-27 22:23:30,2023-11-01 09:22:49,2023-10-31 21:19:19,2167,73.0,193.0,91.0,2666.0,192.0,736.0,2790,2023-10-09 20:37:49,8.9.0,100.0,A self-hosted Fuzzing-As-A-Service platform.,12.0,12.0,33.0,https://pypi.org/project/onefuzz,862.0,1322.0,29,True,1,17490.0,,,
16,ormar,collerek/ormar,ormar,[],databases-sql,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2023-12-21 13:43:01,2023-12-13 03:00:33,1303,20.0,76.0,17.0,743.0,69.0,176.0,1491,2023-06-18 17:05:55,0.12.2,77.0,python async orm with fastapi in mind and pydantic validation.,944.0,944.0,35.0,https://pypi.org/project/ormar,27424.0,27424.0,29,True,2,,,,
17,piccolo,piccolo-orm/piccolo,piccolo,[],databases-sql,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2023-12-12 11:29:46,2023-12-12 11:15:00,1731,14.0,78.0,15.0,425.0,91.0,242.0,1190,2023-11-10 17:30:54,1.1.1,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",308.0,308.0,42.0,https://pypi.org/project/piccolo,16275.0,16275.0,29,True,2,,,,
18,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/aws-powertools/powertools-lambda-python,https://github.com/aws-powertools/powertools-lambda-python,MIT-0,2019-11-15 12:26:12,2023-12-21 14:44:21,2023-12-21 14:43:08,3141,297.0,322.0,55.0,2525.0,69.0,772.0,2460,2023-12-18 14:47:27,2.30.2,100.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,1960.0,1960.0,137.0,https://pypi.org/project/aws-lambda-powertools-python,,0.0,28,False,1,35.0,,aws-powertools/powertools-lambda-python,
19,Robusta,robusta-dev/robusta,robusta,[],monitoring,https://github.com/robusta-dev/robusta,https://github.com/robusta-dev/robusta,MIT,2021-06-20 08:45:36,2023-12-21 17:41:06,2023-12-20 23:50:43,1582,93.0,213.0,30.0,976.0,119.0,124.0,2284,2023-12-10 13:16:00,0.10.26,100.0,"Kubernetes observability and automation, with an awesome Prometheus integration.",220.0,220.0,69.0,https://pypi.org/project/robusta,27.0,27.0,28,True,1,,,,
20,odmantic,art049/odmantic,odmantic,[],databases-document,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2023-12-21 04:49:04,2023-12-13 01:11:40,534,56.0,81.0,21.0,232.0,58.0,83.0,912,2023-12-13 12:49:48,1.0.0,19.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,3141.0,3141.0,16.0,https://pypi.org/project/odmantic,17655.0,17655.0,28,True,3,,,,
21,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2023-12-21 11:53:48,2023-12-21 11:53:45,4526,264.0,126.0,10.0,906.0,163.0,265.0,1580,2023-12-07 14:54:36,0.13.2,85.0,Open-source data observability for analytics engineers.,43.0,43.0,63.0,https://pypi.org/project/elementary,,,26,True,1,,,,1.0
22,geojson-pydantic,developmentseed/geojson-pydantic,geojson-pydantic,[],geojson,https://github.com/developmentseed/geojson-pydantic,https://github.com/developmentseed/geojson-pydantic,MIT,2020-05-21 22:29:07,2023-12-20 17:09:38,2023-12-20 17:08:53,284,5.0,32.0,14.0,78.0,2.0,60.0,174,,,,Pydantic data models for the GeoJSON spec.,307.0,307.0,22.0,https://pypi.org/project/geojson-pydantic,133884.0,133884.0,23,True,1,,,,
23,Opyrator,ml-tooling/opyrator,opyrator,[],ai-service-deployment-framework,https://github.com/ml-tooling/opyrator,https://github.com/ml-tooling/opyrator,MIT,2021-04-06 08:09:06,2023-11-28 21:11:34,2021-05-06 12:10:38,127,,154.0,50.0,55.0,,30.0,2968,2021-05-01 13:59:02,0.0.11,2.0,"Turns your machine learning code into microservices with web API, interactive GUI, and more.",46.0,46.0,4.0,https://pypi.org/project/opyrator,250.0,250.0,22,True,3,,,,
24,redisOM,redis/redis-om-python,redis-om-python,[],databases-key-value,https://github.com/redis/redis-om-python,https://github.com/redis/redis-om-python,MIT,2021-08-31 01:10:13,2023-11-01 09:14:10,2023-09-06 12:16:36,550,,89.0,21.0,372.0,120.0,84.0,917,2023-07-18 14:52:05,0.2.1,17.0,"Object mapping, and more, for Redis and Python.",777.0,777.0,24.0,https://pypi.org/project/redis-om-python,,,22,True,1,,,,
25,pydantic-xml,dapper91/pydantic-xml,pydantic-xml,[],xml,https://github.com/dapper91/pydantic-xml,https://github.com/dapper91/pydantic-xml,Unlicense,2022-04-26 19:28:39,2023-12-18 14:55:59,2023-12-18 14:55:15,246,33.0,11.0,4.0,97.0,5.0,50.0,100,2023-12-18 14:58:37,2.7.0,30.0,python xml for humans.,52.0,52.0,9.0,https://pypi.org/project/pydantic-xml,39985.0,39985.0,22,True,1,,,,
26,flask-pydantic,bauerji/flask-pydantic,flask-pydantic,[],http-server-integrations,https://github.com/bauerji/flask-pydantic,https://github.com/bauerji/flask-pydantic,MIT,2020-01-06 17:45:59,2023-10-29 22:54:22,2023-01-02 16:09:46,148,,50.0,5.0,38.0,18.0,22.0,311,,,,flask extension for integration with the awesome pydantic package.,511.0,511.0,12.0,https://pypi.org/project/flask-pydantic,119360.0,119360.0,21,True,2,,,,
27,djantic,jordaneremieff/djantic,djantic,[],http-server-integrations,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,MIT,2020-08-02 12:06:11,2023-02-15 19:53:09,2023-02-13 12:15:42,120,,32.0,7.0,36.0,12.0,27.0,406,2022-04-14 10:14:45,0.7.0,15.0,Pydantic model support for Django.,66.0,66.0,4.0,https://pypi.org/project/djantic,19368.0,19368.0,20,True,2,,,,
28,pythogen,artsmolin/pythogen,pythogen,[],http-client-generators,https://github.com/artsmolin/pythogen,https://github.com/artsmolin/pythogen,MIT,2022-05-23 07:49:27,2023-12-21 14:34:27,2023-12-21 14:33:58,409,101.0,5.0,4.0,52.0,2.0,23.0,51,2023-12-12 21:04:50,0.2.36,85.0,Awesome python HTTP-clients from OpenAPI.,,,13.0,https://pypi.org/project/pythogen,2346.0,2346.0,19,True,1,,,,
29,pydbantic,codemation/pydbantic,pydbantic,[],databases-sql,https://github.com/codemation/pydbantic,https://github.com/codemation/pydbantic,Apache-2.0,2021-09-01 18:02:26,2023-10-03 08:00:16,2023-10-03 07:59:56,165,2.0,13.0,5.0,42.0,6.0,18.0,213,2023-10-03 08:00:16,0.0.47,36.0,"A single model for shaping, creating, accessing, storing data within a Database.",13.0,13.0,9.0,https://pypi.org/project/pydbantic,1288.0,1288.0,18,True,3,,,,-1.0
30,pydantic-spark,godatadriven/pydantic-spark,pydantic-spark,[],data-structures,https://github.com/godatadriven/pydantic-spark,https://github.com/godatadriven/pydantic-spark,MIT,2022-02-03 10:43:26,2023-11-24 15:13:01,2023-11-24 15:12:46,33,11.0,4.0,3.0,39.0,,2.0,22,2023-11-24 15:13:57,1.0.1,3.0,,7.0,7.0,6.0,https://pypi.org/project/pydantic-spark,61151.0,61151.0,17,False,1,,,,
31,pydantic-factories,starlite-api/pydantic-factories,pydantic-factories,[],data-generation,https://github.com/litestar-org/pydantic-factories,https://github.com/litestar-org/pydantic-factories,MIT,2023-03-25 12:51:12,2023-04-03 15:10:03,2023-04-03 15:09:07,309,,,2.0,,,,11,2023-04-03 15:10:03,1.17.3,1.0,Simple and powerful mock data generation using pydantic or dataclasses.,455.0,455.0,28.0,https://pypi.org/project/pydantic-factories,152275.0,152275.0,17,True,1,,,litestar-org/pydantic-factories,
