,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,github_release_downloads,trending,docs_url
26,djantic,jordaneremieff/djantic,djantic,[],http-server-integrations,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,MIT,2020-08-02 12:06:11,2024-03-15 10:03:00,2023-02-13 12:15:42,120,,34.0,7.0,38.0,13.0,28.0,456,2022-04-14 10:14:45,0.7.0,15.0,Pydantic model support for Django.,76.0,76.0,4.0,https://pypi.org/project/djantic,10824.0,10824.0,20,True,2,,,,
27,flask-pydantic,bauerji/flask-pydantic,flask-pydantic,[],http-server-integrations,https://github.com/bauerji/flask-pydantic,https://github.com/bauerji/flask-pydantic,MIT,2020-01-06 17:45:59,2024-07-13 18:22:20,2024-07-13 09:24:11,164,1.0,54.0,7.0,47.0,22.0,26.0,356,,,,flask extension for integration with the awesome pydantic package.,670.0,670.0,15.0,https://pypi.org/project/flask-pydantic,169123.0,169123.0,20,True,2,,,-1.0,
28,pyngo,yezz123/pyngo,pyngo,[],http-server-integrations,https://github.com/yezz123/pyngo,https://github.com/yezz123/pyngo,MIT,2021-11-25 00:14:05,2024-09-30 23:52:19,2024-09-13 11:37:21,217,21.0,7.0,3.0,174.0,1.0,3.0,82,2024-09-13 11:38:28,2.2.1,13.0,Pydantic model support for Django & Django-Rest-Framework.,16.0,16.0,8.0,https://pypi.org/project/pyngo,5239.0,5239.0,19,True,3,,,,
29,pydantic-factories,starlite-api/pydantic-factories,pydantic-factories,[],data-generation,https://github.com/litestar-org/pydantic-factories,https://github.com/litestar-org/pydantic-factories,MIT,2023-03-25 12:51:12,2023-04-03 15:10:03,2023-04-03 15:09:07,309,,,3.0,,,,13,2023-04-03 15:10:03,1.17.3,1.0,Simple and powerful mock data generation using pydantic or dataclasses.,506.0,506.0,28.0,https://pypi.org/project/pydantic-factories,240334.0,240334.0,18,True,1,litestar-org/pydantic-factories,,,
30,pydbantic,codemation/pydbantic,pydbantic,[],databases-sql,https://github.com/codemation/pydbantic,https://github.com/codemation/pydbantic,Apache-2.0,2021-09-01 18:02:26,2023-10-03 08:00:16,2023-10-03 07:59:56,165,,15.0,5.0,42.0,6.0,19.0,228,2023-10-03 08:00:16,0.0.47,36.0,"A single model for shaping, creating, accessing, storing data within a Database.",21.0,21.0,9.0,https://pypi.org/project/pydbantic,1690.0,1690.0,17,True,3,,,,
31,graphene-pydantic,graphql-python/graphene-pydantic,graphene-pydantic,[],graphql-server-integrations,https://github.com/graphql-python/graphene-pydantic,https://github.com/graphql-python/graphene-pydantic,,2019-06-20 00:49:40,2024-06-11 17:42:15,2024-02-03 15:46:48,270,,43.0,8.0,62.0,11.0,33.0,226,2022-01-25 16:40:44,0.2.0,5.0,Integrate GraphQL with your Pydantic models.,,,23.0,https://pypi.org/project/graphene-pydantic,21792.0,21792.0,17,True,3,,,,
32,patito,kolonialno/patito,patito,[],data-structures,https://github.com/kolonialno/patito,https://github.com/kolonialno/patito,MIT,2022-04-21 08:54:31,2023-07-29 13:51:20,2023-07-29 13:51:20,95,,4.0,34.0,38.0,25.0,4.0,197,2022-12-02 17:38:25,0.4.4,20.0,A data modelling layer built on top of polars and pydantic.,,,2.0,https://pypi.org/project/patito,14168.0,14168.0,15,True,1,,,,
33,pythogen,artsmolin/pythogen,pythogen,[],http-client-generators,https://github.com/artsmolin/pythogen,https://github.com/artsmolin/pythogen,MIT,2022-05-23 07:49:27,2024-07-29 15:48:03,2024-07-29 15:44:38,415,1.0,6.0,4.0,56.0,6.0,24.0,65,2024-07-29 15:48:03,0.2.41,90.0,Awesome python HTTP-clients from OpenAPI.,1.0,1.0,13.0,https://pypi.org/project/pythogen,2031.0,2031.0,15,True,1,,,-1.0,
34,aiohttp-pydantic,Maillol/aiohttp-pydantic,aiohttp-pydantic,[],http-server-integrations,https://github.com/Maillol/aiohttp-pydantic,https://github.com/Maillol/aiohttp-pydantic,MIT,2020-10-04 10:32:00,2024-09-24 17:39:22,2024-09-24 17:38:01,129,25.0,20.0,2.0,40.0,4.0,25.0,63,,,,Aiohttp View that validates request body and query sting regarding the annotations declared in the View method.,,,14.0,https://pypi.org/project/aiohttp-pydantic,8297.0,8297.0,14,True,3,,,1.0,
35,pydantic-aioredis,andrewthetechie/pydantic-aioredis,pydantic-aioredis,[],databases-key-value,https://github.com/andrewthetechie/pydantic-aioredis,https://github.com/andrewthetechie/pydantic-aioredis,,2021-08-06 19:12:00,2024-09-27 19:53:31,2024-05-29 19:45:27,780,,4.0,2.0,934.0,2.0,25.0,53,2024-05-08 00:26:43,1.4.0,29.0,A Declarative ORM for Redis using Pydantic Models and aioredis.,7.0,7.0,6.0,https://pypi.org/project/pydantic-aioredis,692.0,692.0,14,True,3,,,,
